,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
8584,2024-12-23 16:00:00,188.84133333333332,-3.4047777777777775,-9.74,5.331,0.00270175699981,0.0096778,82.0421 /L,97.8019,29.587386,118.12055,0.5730433,n.a.,n.a.,30902400.0,12,2024,23,-0.14398110255527308,2.6996990610582763e-05
282,2024-01-12 18:00:00,312.70908333333335,-21.426555555555556,-5.913,6.265,0.00242414714761,-0.0123523,17.8641 /T,162.0927,37.067634,72.537819,-0.657076,n.a.,n.a.,1015200.0,1,2024,12,-2.3286029842599865,-7.751833790078455e-05
4134,2024-06-21 06:00:00,258.78970833333335,-26.294555555555558,-12.401,3.685,0.00256241784914,-0.0496007,169.0141 /T,10.9583,33.221699,96.173738,-2.754142,n.a.,n.a.,14882400.0,6,2024,21,-1.4109130216545207,-4.9215902117613706e-05
3791,2024-06-06 23:00:00,80.86433333333333,27.892805555555555,-4.68,5.461,0.00252751232662,0.0482989,7.2621 /T,172.72,34.143355,84.671812,2.6453835,n.a.,n.a.,13647600.0,6,2024,6,1.8011755057809922,-4.395156739441398e-05
7139,2024-10-24 11:00:00,126.06020833333334,24.148944444444442,-10.041,5.232,0.0026184242028,0.0615058,88.5729 /L,91.2763,31.497031,106.05685,3.5304146,n.a.,n.a.,25700400.0,10,2024,24,1.0114793237024327,-2.4215505569642748e-05
5943,2024-09-04 15:00:00,179.41375,0.9771944444444445,-5.52,6.290,0.00271286815318,0.0087703,16.8579 /T,163.0974,29.645875,118.64668,0.511465,n.a.,n.a.,21394800.0,9,2024,4,0.030169119967177842,3.747300619999158e-05
3041,2024-05-06 17:00:00,24.465375,11.317027777777778,-6.008,6.357,0.00243051491033,0.0133404,19.5531 /L,160.4004,36.863444,63.717985,0.7003828,n.a.,n.a.,10947600.0,5,2024,6,2.731012032077948,-5.906472651279627e-06
3148,2024-05-11 04:00:00,90.11825,28.456305555555556,-7.535,6.237,0.00254675866601,0.0650892,39.7434 /T,140.1642,33.495899,88.886982,3.6075484,n.a.,n.a.,11332800.0,5,2024,11,1.6429651104669813,-4.2166339046808155e-05
5804,2024-08-29 20:00:00,110.87575,27.203083333333332,-8.038,6.073,0.00262020773935,0.0442672,48.2691 /L,131.6196,31.62729,99.396534,2.5266191,n.a.,n.a.,20894400.0,8,2024,29,1.2814947766739595,-2.5918751780486596e-06
7865,2024-11-23 17:00:00,161.18641666666667,10.381527777777778,-9.782,5.324,0.00267871329162,0.0383173,82.8401 /L,97.0056,30.095221,116.78827,2.2511209,n.a.,n.a.,28314000.0,11,2024,23,0.3693116958110895,7.659588267700315e-06
8388,2024-12-15 12:00:00,84.67183333333334,28.3165,-12.692,3.474,0.00247896283988,0.0424362,174.7692 /L,5.2178,35.48876,87.401763,2.2909362,n.a.,n.a.,30196800.0,12,2024,15,1.7365823332676311,-9.98237451106665e-05
4778,2024-07-18 02:00:00,250.7705,-25.1895,-11.545,4.381,0.00257990786159,-0.0618077,137.0501 /T,42.8508,32.632548,99.658491,-3.471492,n.a.,n.a.,17200800.0,7,2024,18,-1.2696418360514343,-4.3860735073467105e-05
7050,2024-10-20 18:00:00,70.71383333333333,27.1235,-11.615,4.387,0.00246889970543,0.0667344,134.4425 /L,45.4564,35.578483,80.495452,3.6003925,n.a.,n.a.,25380000.0,10,2024,20,1.9743186777294441,-8.16165452915572e-05
6539,2024-09-29 11:00:00,153.52120833333333,14.276611111111112,-7.182,6.277,0.00269170143828,0.0271904,36.2550 /L,143.6536,30.024832,115.23474,1.5897941,n.a.,n.a.,23540400.0,9,2024,29,0.5117761952633956,2.4670103143983445e-05
8564,2024-12-22 20:00:00,180.13420833333333,0.10216666666666667,-10.096,5.162,0.00269407000426,0.0222229,91.0392 /L,88.8039,29.74991,118.485,1.3141472,n.a.,n.a.,30830400.0,12,2024,22,0.015446845126781619,1.8653336930045047e-05
992,2024-02-11 08:00:00,343.8342916666667,-9.91375,-6.103,6.312,0.00239564335311,0.0119968,19.7114 /T,160.2418,37.915162,63.316748,0.620606,n.a.,n.a.,3571200.0,2,2024,11,-2.83556740399849,-2.2127514399716657e-05
4891,2024-07-22 19:00:00,322.18529166666667,-17.026444444444447,-12.299,3.867,0.00244808080691,-0.021501,161.2222 /L,18.7336,36.348153,68.319505,-1.139844,n.a.,n.a.,17607600.0,7,2024,22,-2.4806082471011255,-3.015919759691548e-05
2395,2024-04-09 19:00:00,31.501375,14.604888888888889,-5.538,6.174,0.00242416819705,0.0417987,14.3902 /T,165.5755,37.041443,65.237051,2.1998624,n.a.,n.a.,8622000.0,4,2024,9,2.6182039665265364,-3.1590063744027595e-05
5275,2024-08-07 19:00:00,173.635375,4.1851111111111114,-7.208,6.290,0.00270403134575,0.0141936,37.1076 /T,142.8002,29.751376,118.26551,0.8317155,n.a.,n.a.,18990000.0,8,2024,7,0.13827609207679467,2.921973557287001e-05
6689,2024-10-05 17:00:00,220.848625,-18.746833333333335,-6.85,6.334,0.00269871919538,-0.0230639,31.8785 /T,148.0398,29.895478,111.60952,-1.359622,n.a.,n.a.,24080400.0,10,2024,5,-0.7364499145800134,4.067458557765417e-05
2388,2024-04-09 12:00:00,27.469166666666666,12.751277777777778,-5.133,5.871,0.00241757437365,0.0364346,10.3431 /T,169.6323,37.251269,64.273679,1.9113754,n.a.,n.a.,8596800.0,4,2024,9,2.682932389106983,-2.71882585443973e-05
3840,2024-06-09 00:00:00,111.58529166666666,27.03427777777778,-6.855,6.374,0.00259023506686,0.0553815,31.2443 /T,148.6799,32.440712,99.137204,3.1161126,n.a.,n.a.,13824000.0,6,2024,9,1.2688091689031564,-3.3601262261331866e-05
6523,2024-09-28 19:00:00,145.89633333333333,17.565361111111113,-7.708,6.147,0.00268007645495,0.0332305,43.6371 /L,136.2568,30.24383,113.15678,1.9384699,n.a.,n.a.,23482800.0,9,2024,28,0.6519578392196097,1.8272701296342345e-05
7350,2024-11-02 06:00:00,224.37208333333334,-19.515666666666664,-4.741,5.638,0.00269044198977,-0.0238175,8.6249 /T,171.3519,30.171526,110.3117,-1.396153,n.a.,n.a.,26460000.0,11,2024,2,-0.7992627014027074,3.5488486431780025e-05
7667,2024-11-15 11:00:00,43.646458333333335,20.23375,-12.695,3.528,0.00241289535054,0.019812,173.0265 /T,6.9563,37.41515,69.520592,1.0457791,n.a.,n.a.,27601200.0,11,2024,15,2.4233605429257628,-7.434091012293925e-05
7665,2024-11-15 09:00:00,42.405125,19.790805555555558,-12.67,3.553,0.00241198190767,0.0181445,172.0291 /T,7.9514,37.442366,69.091978,0.9579092,n.a.,n.a.,27594000.0,11,2024,15,2.4436216815964156,-7.209440710220999e-05
1034,2024-02-13 02:00:00,7.133208333333333,2.1926944444444443,-7.974,6.110,0.00242499953453,0.0440857,43.9081 /T,135.9943,36.905569,61.71292,2.3295074,n.a.,n.a.,3722400.0,2,2024,13,3.0062153510187604,3.917364273740755e-05
5423,2024-08-13 23:00:00,243.74191666666667,-24.253833333333333,-10.58,4.969,0.00261872729158,-0.0614925,105.0703 /T,74.7867,31.526075,102.67759,-3.524618,n.a.,n.a.,19522800.0,8,2024,13,-1.145908145932463,-1.4618976873351404e-05
4438,2024-07-03 22:00:00,75.19958333333334,27.342027777777776,-6.437,6.416,0.00253875502448,0.0366723,25.6497 /L,154.2881,33.812703,82.259046,2.0190271,n.a.,n.a.,15976800.0,7,2024,3,1.8974847025165067,-2.129407267557025e-05
